,0
39,New post (Эпидемия Covid-19 - Сколько в Украине больных по данным на 16 июня 2021 года) has been published on Новости Украины России и мира сегодня - 
40,Всемирная выставка в Дубае может частично закрыться из-за COVID-19\n 
41,Темп вакцинации от Covid-19 в Латвии упал на 20% 
42,Цар тахлын үед ЗГ уудын авсан арга хэмжээг дүгнэж жагсаавал 
43,"Мама проболела 20 дней\nОбоняние работает на половину \nСегодня ночью вызвала врачей ,сказали легкие чистые,панкреатит (из-за этого давило грудную клетку)\nПолучила сегодня результат -отрицательный урааааа \nМожно за маман не беспокоиться \nПрививку не ставила ,42 года\n#covid19"
44,"Новые правила требуют, чтобы госслужащие проходили вакцинацию от COVID - 19\n\n Профсоюзы государственных служащих Нью-Йорка выступают против недавно объявленного диктата, требующего от работников вакцинации от COVID-19 или регулярного тестирования на…\n "
45,"Российские телеканалы: в Европе эпидемия резко набирает силу, а у нас всё спокойно.\n\nЧисло смертей от COVID-19 за последние 5 дней:\nГермания - 33\nИталия - 79\nБритания - 104\nФранция - 293\nРоссия - 588."
46,"Ёооо, бэлэн ийм мундаг жишээ байхад УОК-нхон ядаж дуурайж болдоггүйн муу? "
47,"СМИ: Разведка США получила данные о вирусах в Ухане, которые помогут установить происхождение COVID-19 "
48,В связи с улучшающейся ситуацией с COVID-19 в Москве смягчат действующие в городе меры:\n отменяется требование об обязательном переводе на удаленку 30 процентов сотрудников;\n горожане снова смогут посещать крытые помещения на территории зоопарков.\n\n 
49,Круче! 11.03.2020 ВОЗ назвала COVID-19 пандемией!
50,"В Зеленограде выпустили вакцину от коронавируса\n\nЗеленоградский фармацевтический завод начал выпуск вакцины от коронавирусной инфекции.\n\nВ пятницу, 14 августа, с конвейеров фирмы сошла самая первая партия вакцины от COVID-19 количеством около 16 000 доз.\n\nРоссийская Федера… "
51,В Риме прошли протесты против новых ограничений из-за COVID-19 — видео – LH Новости - Обо всем и ни о чём - LoaL Home 
52,"Коронавирус в Тюмени, последние новости на 20 августа 2020 года: осталось всего три очага COVID-19\n\nМы собрали для вас последние новости о коронавирусе в Тюмени на 20 августа 2020 года\n "
53,В Тюмени кошка заразилась COVID-19 \n\n 
54,Радиопереговоры: Физиология высшей нервной деятельности (о воровстве формулы вакцины #AstraZeneca) #TheSun #Russia #chat #vaccine #COVID19 #SputnikV #theft 
55,За сутки в Харьковской области умерли 18 пациентов с COVID-19 
56,"Москва вошла в тройку лидеров международного рейтинга внедрения инноваций в борьбе с COVID-19 – третье место столице обеспечили 46 инновационных решений, которые помогли многим людям "
57,"Коронавирус в Екатеринбурге, последние новости на 20 августа 2021 года\n\nСообщаем последние новости COVID-19 в Екатеринбурге и Свердловской области\n "
58,"Ученые обнаружили влияние COVID-19 на рождаемость\nЭксперты проанализировали статистику из 22 стран: почти вся Европа, США, Израиль, Япония, Южная Корея. Стали рожать меньше. \nВ России та же тенденция. Минимум новорождённых за последние полтора года — в январе и феврале 2021."
59,"Шесть смертей от коронавируса зафиксированы за минувшие сутки на Ставрополье, а всего в Северо-Кавказском федеральном округе – 12.\n\n#коронавирус #COVID19 #СеверныйКавказ\n\nПодробнее: "
60,"У знакомой из аптеки неделю назад мужа увезли с ковидом в другой город за 30 км. \nИ вот она тоже куда-то пропала не отвечает на смс. \nТак то её понять можно , что в такой ситуации нескем разговаривать не хочицо....\nНадеюсь с ней всё в порядке\n#коронавирус #ковид #аптека #COVID19"
61,"Гнусная русофобия!\nВ Латвии пособие за простой в связи с COVID19 смогут получить предприятия, самозанятые и плательщиков патентов, если их месячный доход снизился не менее чем на 20% по сравнению с августом-октябрем 2020 года.\nВы что, хотите как в Латвии?!\n "
62,У Monsta x и их стафа отрицательные тесты на Covid-19\nИ это самая хорошая новость за сегодня\nМонбебе носите маски и не болейте \n\n[#2020MAMA] Voted for #monstax on #MAMAVOTE ｜ 2020 MAMA ｜ 2020.12.06 (SUN) \n@username 
63,"Гинцбург: привитые от COVID-19 могут заболеть из-за характера штамма «Дельта»\n30 октября 2021\n\nВакцинированные от коронавируса могут заболеть, поскольку штамм «Дельта» обладает особым характером взаимодействия с организмом.\n\n«Привитые заражаются, потому"
64,"Редко, но опасно. Врач назвал еще одно серьезное осложнение после COVID-19\n\nCOVID-19...\n "
65,Около 400 новых заболевших COVID-19 выявлено за сутки в Казахстане\n\n 
66,Минздрав Беларуси: более 200 иностранцев получили первую прививку от COVID-19 в Беларуси\n Подробнее: #Беларусь 
67,Вакцины от COVID-19 на Харьковщине ждут через 2 недели (видео) 
68,"ABC News: возвращаться к учёбе Америке рано — об этом свидетельствуют и вспышки COVID-19 в колледжах, и обеспокоенные учителя — ИноТВ "
69,После прививки от COVID-19 лучше воздержаться от нагрузок – врач 
70,В России начинается вакцинация от COVID-19 – все новости 
71,"В России с начала года удалили 3,5 тысячи интернет-страниц с фейками о COVID-19\n\nРоскомнадзор сообщил, что с начала текущего года ими было заблокировано или удалено 3516 интернет-страниц с фейками о COVID-19. Также в ведомстве уточнили, что 707 из этих интернет-страниц было вы... "
72,Невролог назвала малоизученные осложнения после COVID-19\n 
73,Стабилизация ситуации: как страны СНГ и Грузия борются с COVID-19\n #коронавирус #снг
74, Состоялся телефонный разговор Владимира Путина с Президентом Республики #Беларусь Александром #Лукашенко. Продолжено обсуждение ситуации в Белоруссии. Затрагивалась также тематика двустороннего сотрудничества в вопросах противодействия #COVID19.\n 
75,Аллергических реакций на вакцину от COVID-19 не нашли 
76,Гейтс допустил рост случаев COVID-19 в США 
77,"Си Цзиньпин: в ходе пандемии COVID-19 Китай и Египет всячески поддерживали друг друга, отправляя необходимые противоэпидемические средства. Страны в полной мере проявили себя верными друзьями. "
78,Топчемся на месте: в Ивановской области нет снижения заболеваемости COVID-19\n динамика заболеваемости в нашем регионе по сравнению с другими? #Иваново #ИН 
79,COVID-19 в Крыму: в тяжелом состоянии – 64 пациента 
80,Мэрия напомнила о необходимости соблюдения мер профилактики COVID-19 #ГазетаСавелки 
81,В лаборатории в Ухане нашли новую развидность Коронавируса.\n 
82,В Кыргызстане за сутки COVID-19 выявили у 465 человек \n 
83,В Индии сделали миллиардную прививку от COVID-19\n\n 
84,Хавар вероселл 2 тун хийлгээд намар нэмэлтээр файзер хийлгэсэн. Вакцины л хүч гэж бодож байна даа. #COVID19 Вакцин хийлгээгүй жижиг хүүхдүүд маань халдвар авч гэртээ 10 хоног эмчлүүлсэн. Би сөрөг байна. дээр хийлгэсэн 3 тун вакцины ач.Төр засагтаа баярлалаа 
85,"Колыма лидирует по количеству выявленных заболевших COVID-19 в ДФО / Показатель Магаданской области составляет 1 791,1 | Магаданская правда "
86,"Японские ученые: риск тяжелого течения COVID-19 у куривших выше в 1,5-2 раза\n\nУченые Национального исследовательского центра международного здравоохранения Японии выяснили, что риск более тяжелого заражения коронавирусом выше как у мужчин, так и у женщин, которые ранее курили.... "
87,Заболеваемость COVID-19 в Польше за неделю выросла на 70%\n\n 
88,В Минздраве рассказали об электронных сертификатах о прививках против COVID-19 
89,2 064 новых случая заражения COVID-19 за сутки\n #bakuaz #bakuazerbaijan #baki #azerbaycan #azerbaijan #azərbaycan
90,"Сидите в твиттуре как в пещере и ничего не знаете!\nА в ""одноклассниках"" уже заговор про COVID-19 раскрыли... "
91,Разведка США назвала утечку из лаборатории возможной причиной пандемии COVID-19 
92,267 случаев COVID-19 подтвердили в Иркутской области за сутки. Общее число зараженных составило 29 383. Умерли еще 19 человек.\n 
93,"Ситуация с COVID-19 в Беларуси. В клиниках Минска - нехватка ИВЛ, пациентов начинают подключать к наркозным аппаратам. Хотят открывать дополнительные отделения ОРИТ, но нет ни персонала, ни оборудования. Здравствуй, дельта-штамм! "
94,"Исследование новых вариантов коронавируса в Великобритании и Южной Африке показывает, что вирус «ускользает» от наших нынешних вакцин и методов лечения.\n\n "
95,"В ноябре 2020 в стране умерло на 80 тысяч человек больше, чем в ноябре 2019. \nЗа 1 месяц. \nНа 80 тысяч больше. \nВ стране катастрофа. \nИ эта катастрофа ещё страшнее потому, что вызвана она дичайшим враньём власти и дичайшим же равнодушием общества "
96,Бой Тэйт – Виейра отложен из-за Covid-19 
97,"Более 700 случаев COVID-19 за сутки впервые выявлено в Свердловской области\n708 случаев коронавируса впервые с начала пандемии зафиксировано за минувшие сутки в Свердловской области, сообщает оперштаб РФ.\n "
98,Китай: очередная волна COVID-19 набирает обороты \n последние сутки диагностировано 4045 подтвержденных случаев
99,Generic commodity буюу түгээмэл хэрэглээтэй бүтээгдэхүүн экспортолдог учраас бусад улс руу шилжүүлж экспортлох аргаар давж. Манайд гэм нь далайн гарц байхгүй болохоор жаахан төвөгтэй л юм. Гэхдээ л бас л бусад улсууддаа цонх нээж өгчээ өгч. 
100,Случаи смерти после вакцинации от COVID-19 выявлены в Петербурге 
101,В Армении выявлено 1075 новых случаев COVID-19 
102,Иммунитет к COVID-19 вырос у детей и пожилых людей\n 
103,За сутки в Севастополе выявили 89 новых случаев COVID-19 
104,"В Ульяновской области число заболевших COVID-19 превысило 10 тысяч, больше 5 тысяч — в Ульяновске. Инфографика "
105,Действия Еврокомиссии по борьбе с Covid-19 вызывают критику в Параламенте. Урсула фон дер Ляйен была вынуждена объяснять депутатам причины нехватки вакцин и низких темпов прививок. 
106,Китай обвиняет США в политизации происхождения COVID-19 после доклада разведслужбы\n 
107,"Обращаем внимание , что за период с середины ноября и по нынешнее время наблюдается прогрессирующий рост случает осложненного, тяжелого протекания заболевания COVID-19 у пациентов всех возрастных групп. По нашим данным процент тяжелого протекания заболевания составляет"
108,Мурашко: Выдача бесплатных лекарств для пациентов с COVID-19 на амбулаторном лечении продлена на январь 
109,"Стало известно, кому из брянцев противопоказано делать прививку от COVID-19\n Минздраве ответили на вопросы граждан по поводу вакцинации от коронавируса #Брянск #НБ "
110,"Я долго надеялась, что такого рода зверства - это слухи. Но нет. Есть друзья семьи из военного госпиталя и новости оттуда хуже, чем во время пика covid19.\nМолоденткий парень с раздробленной ногой, похоже будет ампутация. Старик после встречи с ОМОНом поступил с кишечником наружу. "
111,65-летний Билл Гейтс вакцинировался от COVID-19 и чувствует себя отлично - #IT #софт #игры #смартфоны 
112,"Никого не агитирую и не готов вступать в полемику на тему необходимости вакцинации. Каждый сам для себя принимает решение по поводу своего здоровья. Я ежегодно прививаюсь от гриппа в течение последних 5 лет, и не болею, поэтому сомнений по поводу вакцинации от covid-19 не было."
113,"ЗАКРОЙТЕ ЕГО В ДУРКЕ!\nВ Госдуме предлагают обеспечить беженцев из Донбасса жильем умерших от COVID-19 россиян\nДепутат ГД Евгений Фёдоров считает,что, благодаря беженцам из Донбасса Россия сможет компенсировать смертность от COVID-19.\nВ какой партии состоит вы догадались. "
114,"Новые антирекорды. За сутки количество случаев заражения COVID-19 в Украине 13 357, 257 человек умерли..."
115,Маски с клапанами бесполезны для защиты от COVID-19 - ученые - 
116,Минздрав хочет обеспечить вакцинами против COVID-19 всех украинцев уже к концу 2021 • Портал АНТИКОР 
117,"Стратегия России по вакцинации от COVID-19 вызвала недоумение главы Еврокомиссии: ""Мы удивляемся, почему Россия предлагает другим странам миллионы доз (вакцины ""Спутник V""), но при этом не достигла достаточного прогресса в вакцинации собственного населения"" "
118,Суточная заболеваемость COVID-19 в Москве продолжила рост 
119, #Лавров: Мы неоднократно предлагали #НАТО пойти по пути деэскалации военной напряженности и снижения рисков военных инцидентов на континенте. На фоне #COVID19 выдвинули инициативу по соблюдению военной сдержанности. Однако альянс не демонстрирует готовности к аналогичным шагам 
120,В Казахстане за сутки COVID-19 заразились уже более 130 человек\n\n 
121,Отличная возможность получить ответы на интересующие вопросы от Рег.Директора Ханса Клюге по Европейскому региону и тех.экспертов ВОЗ 
122,Вспышка Covid-19 в Европе обвалила цены на нефть 
123,#Киров #ГТРКВятка Глава Минздрава назвал сроки отступления пандемии COVID-19\nПодробнее: 
124,В России за сутки умерли 459 пациентов с коронавирусом\n\nВ России за последние сутки умерли 459 пациентов с коронавирусом. Всего с начала пандемии COVID-19 скончались 80 979 зараженных. За сутки выявлено 13 233 новых случая коронавируса. Общее число зарегистрированных заражений... 
125,"Соскучившиеся по теплу жители столицы стали массово выбираться на улицы. Опасно ли это, объяснил врач-инфекционист.\n "
126,Минздрав рекомендует Арбидол\n\nПрепарат включен в новую версию рекомендаций по лечению COVID-19 
127,Путин договорился с Лукашенко испытать вакцину от COVID-19 на белорусах 
128,"В Lancet признали, что вирус COVID-19 создали в лаборатории\n.\n Подробнее: "
129,"Тред о модели "" швейцарского сыра"" : вакцинация это один из барьеров, но желательно использовать и другие противоэпидемические мероприятия чтобы добиться ""zero covid"" "
130,Какое воздействие на качество воздуха в Молдове и Украине оказывает пандемия COVID-19? Этому посвящено совместное исследование ПРООН и Европейского космического агентства с использованием спутниковых данных 
131,VAST Mongolia продакшны шинэ бүтээл. \n\n&lt;#Улаан_шугам&gt; #Red_line баримтат киноны 1-р ангийг 2021 оны 12 дугаар сарын 18-нд хүлээн авч үзнэ үү. \n\nМонгол улс #covid19 тойрсон үйл явдлаас сэдэвлэн бүтээв. \n@username баярлалаа найз 
132,В Кыргызстане выявили 70 случаев COVID-19 и пневмонии. Всего — 84 832 
133,В Бурятии общее число случаев заражения COVID-19 перешло отметку в 23 000 #НомерОдин 
134,В Пензенской области увеличилось число суточных пациентов с Covid-19 \n\nПодробности:\n 
135,"Бүгд Найрамдах Сингапур Улсад 2021 оны 5 сарын 20-ний өдрийн байдлаар COVID-19 цар тахлын тохиолдлын тоо нэмэгдэж 61689-д хүрэв. Бүрэн эдгэрсэн хүн 61183, нас барсан 31 тохиолдол бна."
136,Четыре варианта вакцины от COVID-19 одобрены в США 
137,Билл Гейтс пророчит жителям планеты Земля еще одну пандемию #биллгейтс #covid19 #прогнозы #будущее #пандемия\n 
138,"Папа римский надеется, что после пандемии COVID-19 не будет безработицы "
139,"Глава @username #Мурашко: Иммунизация от #COVID19 признана Всемирной ассамблеей здравоохранения «глобальным общественным благом». Подчеркиваем важность обеспечения равноправного и своевременного доступа к безопасным, качественным, эффективным вакцинам. "
140," Матч «Амкар х Амкал» переносится!\n\nИгра должна была пройти 12 февраля в Перми. В регионе каждый день фиксируют рекорды заболеваемости COVID-19 — почти 3000 новых случаев ежедневно. Ограничения действуют как минимум месяц, поэтому мы не сможем провести матч в феврале. "
141,"Дневник ковидного пациента: журналист полтора месяца записывал, как его семья боролась с COVID-19\nАртем Новоселов вместе с родителями переболел коронавирусом дома\n "
142,В США резко подскочила заболеваемость коронавирусом среди детей 
143,#НөхцөлБайдлынМэдээ Улсын хэмжээнд 41 шинэ тохиолдол бүртгэгдлээ. Дэлгэрэнгүй мэдээллийг:\n аппликейшний #Covid19 цэсээр аваарай. 
144,Коронавирус в Санкт-Петербурге на 4 марта 2021 года 
145,В Украине за сутки выявили почти 6 тысяч новых случаев заражения COVID-19\n 
146,Два скрина с датами вам.\nПросто что бы вы понимали насколько мы ещё далеки от безапеляционно полного понимания SARS-COV-2 и COVID-19 
147,"Всемирная вакцинация от Covid-19 и ужасающие последствия.\nЦифровое подключение привитых через устройство Bluetooth и их отслеживание ""покемоны"".\n\n "
148,"Осторожно, фейк! В Тульской области не тестируют вакцину от COVID-19 #Тула #НовостиТулы"
149,ООН заявила о риске превращения Мьянмы в суперраспространителя COVID-19
150,Фактов преднамеренного заражения людей COVID-19 в Казахстане не зарегистрировано - МВД РК\n\n 
151,За сутки 5 жителей Владимирской области умерли от COVID-19\n 
152,"#Израиль отменяет сотни разрешений на въезд для иностранцев \n #COVID19\n\nОжидается, что из-за аннулирования разрешений на въезд начнутся задержки в рассмотрении заново поданных заявок.\n\nПодробности на сайте:"
153,За сутки в Беларуси зарегистрированы 507 пациентов с COVID-19\n\n 
154,Лечение одного человека обходится государству от 300 до 500 тыс руб.\nЛечение COVID-19
155,В Мариуполе за сутки – полсотни новых случаев COVID-19 #glavpost\n 
156,"Денег нет, вакцины тоже...\nЛюдям в уши льют дерьмо.\nОт новин мороз по коже...\nМожновладці, де бабло?!\n#Україна #COVID19 #ЛютийПЦ "
157,"кстати, может кому будет интересен калькулятор по которому диагноз COVID-19 можно поставить по анализу крови: "
158,Национальный статистический комитет КР провел обследование по воздействию #COVID19 на положение детей и женщин в Кыргызстане при финансовой и технической поддержке ЮНИСЕФ.\n\nПоловина домохозяйств в Кыргызской Республике осталась без дохода из-за COVID-19 
159,"В Турции объявили о том, что минздрав отказывается закупать российскую вакцину от COVID-19, мол, она не соответствует нормам лабораторной практики. А буквально через несколько часов всё опровергли. Как наше лекарство стало оружием пропагандистской войны:\n "
160,"Едва оправившись после пандемии COVID-19 и ковидных ограничений, аэропорты вновь переживают темные времена. Только во Внуково пассажиропоток сократился почти на 20%. В нашей фотогалерее — безлюдный аэропорт с закрытыми магазинами и ресторанами. "
161,Британская разведка считает правдоподобной версию об утечке COVID-19 из китайской лаборатории\n\nОб этом пишет The Sunday Times со ссылкой на источники в спецслужбах Соединенного Королевства. Новые выводы были сделаны совсем недавно. \n\n 
162,Продуктовый магазин в USA \nПрофилактика COVID-19 прямо на продуктах. А вам слабо? ... \n 
163,В России выявили более 26 тысяч новых случаев COVID-19\n 
164,Врач из Башкирии назвал отличительный симптом коронавируса COVID-19 в зимний период 
165,"По словам Александра Чепурнова, перенесшим коронавирус пациентам следует контролировать уровень антител раз в два месяца.\n "
166,«СО» ОНЛАЙН \nCOVID-19 переболел лишь один сотрудник областного Следственного управления СК РФ\n\nКак уверяют в ведомстве — это связано с предпринятыми мерами безопасности: 
167,"Число заражений COVID-19 в мире превысило 232,7 млн - университет Хопкинса//ИНТЕРФАКС"
168,"А знаете ли вы что , в 2036 году Путин все свои провалы за 36 лет правления ,будет списывать на COVID-19 ?"
169,Австралид Виктория муж улсад вирусын дэгдэлт гамшгийн түвшинд хүрч 6 долоо хоногийн онц байдал зарлачихлаа. \nНилээн хатуу дэглэмтэй юм бн.\nШинэ Өмнөд Уэльс рүү ирж онгоцонд суух монголчууд маань гацах нь дээ! 
170,В РФ подтвердилось 17 648 новых случаев заболевания COVID-19 за сутки:\n 
171,Pfizer объявила о создании революционного лекарства от Covid-19 
172,"Вице-мэр столицы Айжан Чыныбаева выступая на брифинге, сообщила, что ситуация с Covid19, в городе немного стабилизировалась. Однако пика заболеваемости следует ожидать в феврале следующего года. Подробности в нашем "
173,"Биатлонисты сборной России сдали отрицательные тесты на COVID-19 перед ЧМ-2021\n\n #RussiaToday #Россия, #Новости #Россия "
174,"В России зарегистрировали тест для определения ""британского"" штамма коронавируса ...\n "
175,"Вирусолог предсказал будущее COVID-19\n\nВирусолог Анатолий Альтштейн спрогнозировал скорое снижение заболеваемости коронавирусом в России, однако болезнь при этом не исчезнет. По мнению Альтштейна, COVID-19 не покинет человеческую популяцию. "
176," На оперативном штабе #Волжскийрайон по #COVID19 принято решение, что на неделе с 08.11. по 13.11.21 г.:\n\n 1-4 классы - очно;\n 5-8 и 10 классы - дистант; \n 9, 11 классы - очно;\n СПО - дистант;\n допобразование - дистант;\n д/сады - в штатном режиме.\n\n@username "
177,"Вьетнам создает фонд вакцины против COVID-19 | финансов добивается одобрения правительства на создание фонда вакцины против COVID-19, о чем было объявлено 19 мая. "
178,"COVID-19 был создан в США, а затем распространялся по миру с помощью американских военных, туристов и преступников. Об этом написало агентство «Синьхуа», основываясь на данных аналитического центра разведки Китая."
179,Сегодня в Риге люди собирались у памятника Свободы!\n\n#Латвия #протест #вакцинация #covid19 
180,"Covid-19 в Украине, данные за неделю (16-22.03):\n\n86 708 новых случаев, 60 748 на прошлой неделе (+43%);\n\n1665 смертей, 1305 на прошлой неделе (+28%);\n\n34 835 выздоровлений, 27 753 на прошлой неделе (+26%);\n\n303 773 ПЦР-тестов, 236 748 на прошлой неделе (+29%). "
181,Врач Филатовской больницы Елена Дондурей назвала симптомы COVID-19 у детей\n\nВрач Филатовской больницы Дондурей перечислила симптомы коронавирусной инфекции у детей. \n\n 
182,38 случаев заболевания пневмонией с признаками COVID-19 зарегистрировано в РК 
183,ВОЗ фиксирует снижение новых случаев COVID-19 в мире три недели подряд 
184,"В ""Векторе"" рассказали, как погода влияет на распространение COVID-19 "
